date,team_a,team_b,result
10/6/90,Brasile,Svezia,2-1
10/6/90,Germania,Yugoslavia,4-1
11/6/90,Costarica,Scozia,1-0
11/6/90,Inghilterra,Eire,1-1
12/6/90,Belgio,Corea del Sud,2-0
12/6/90,Olanda,Egitto,1-1
13/06/90,Argentina,Unione Sovietica,2-0
13/06/90,Uruguai,Spagna,0-0
14/06/90,Italia,USA,1-0
14/06/90,Camerun,Romania,2-1
14/06/90,Yugoslavia,Colombia,1-0
15/06/90,Austria,Cecoslovacchia,0-1
15/06/90,Germania,Emirati Arabi Uniti,5-1
16/06/90,Svezia,Scozia,1-2
16/06/90,Brasile,Costarica,1-0
16/06/90,Inghilterra,Olanda,0-0
17/06/90,Corea del Sud,Spagna,1-3
17/06/90,Belgio,Uruguai,3-1
17/06/90,Eire,Egitto,0-0
18/06/90,Camerun,Unione Sovietica,0-4
18/06/90,Argentina,Romania,1-1
19/06/90,Italia,Cecoslovacchia,2-0
19/06/90,Austria,USA,2-1
19/06/90,Yugoslavia,Emirati Arabi Uniti,4-1
19/06/90,Germania,Colombia,1-1
20/06/90,Svezia,Costarica,1-2
20/06/90,Brasile,Scozia,1-0
21/06/90,Belgio,Spagna,1-2
21/06/90,Corea del Sud,Uruguai,0-1
21/06/90,Inghilterra,Egitto,1-0
21/06/90,Eire,Olanda,1-1
23/06/90,Cecoslovacchia,Costarica,4-1
23/06/90,Camerun,Colombia,2-1
24/06/90,Germania,Olanda,2-1
24/06/90,Brasile,Argentina,0-1
25/06/90,Italia,Uruguai,2-0
25/06/90,Eire,Romania,5-4
26/06/90,Inghilterra,Belgio,1-0
26/06/90,Spagna,Yugoslavia,1-2
30/06/90,Italia,Eire,1-0
30/06/90,Yugoslavia,Argentina,2-3
1/7/90,Germania,Cecoslovacchia,1-0
1/7/90,Inghilterra,Camerun,3-2
3/7/90,Italia,Argentina,3-4
4/7/90,Germania,Inghilterra,4-3
7/7/90,Italia,Inghilterra,2-1
8/7/90,Germania,Argentina,1-0
17/06/94,Spagna,Corea del Sud,2-2
17/06/94,Germania,Bolivia,1-0
18/06/94,Colombia,Romania,1-3
18/06/94,USA,Svizzera,1-1
18/06/94,Italia,Eire,0-1
19/06/94,Camerun,Svezia,2-2
19/06/94,Norvegia,Messico,1-0
19/06/94,Belgio,Marocco,1-0
20/06/94,Brasile,Russia,2-0
20/06/94,Olanda,Arabia Saudita,2-1
21/06/94,Germania,Spagna,1-1
21/06/94,Nigeria,Bulgaria,3-0
21/06/94,Argentina,Grecia,4-0
22/06/94,USA,Colombia,2-1
22/06/94,Romania,Svizzera,1-4
23/06/94,Corea del Sud,Bolivia,0-0
23/06/94,Italia,Norvegia,1-0
24/06/94,Brasile,Camerun,3-0
24/06/94,Svezia,Russia,3-1
24/06/94,Messico,Eire,2-1
25/06/94,Argentina,Nigeria,2-1
25/06/94,Belgio,Olanda,1-0
25/06/94,Arabia Saudita,Marocco,2-1
26/06/94,USA,Romania,0-1
26/06/94,Svizzera,Colombia,0-2
26/06/94,Bulgaria,Grecia,4-0
27/06/94,Germania,Corea del Sud,3-2
27/06/94,Bolivia,Spagna,1-3
